Wavelength [nm],Intensity
294.810,3618.96438697974
295.150,4963.16239288449
295.491,6068.68771759669
295.831,7103.60802478964
296.172,7812.08871462941
296.512,8357.86138776938
296.853,8642.24358932674
297.193,8806.87492051224
297.533,8132.39498248075
297.874,6497.11126919836
298.214,3960.8824386994
298.554,2020.99295608203
298.895,832.69721369942
299.235,488.50775531431
299.576,247.099240094423
299.916,259.469412555297
300.256,444.828307742874
300.596,505.290202111006
300.937,458.140590131283
301.277,409.955642685294
301.617,569.789964961509
301.958,698.274413883686
302.298,704.52128807207
302.638,699.424303424855
302.978,742.557375361522
303.318,746.886197785536
303.659,621.713279439757
303.999,578.608776612828
304.339,591.010525465012
304.679,591.253362983465
305.019,494.399215847254
305.360,477.713753720125
305.700,571.632557262977
306.040,654.935817817847
306.380,712.202991113067
306.720,936.7681622232
307.060,1057.6726812177
307.400,1179.4077634116
307.740,1290.04032067458
308.081,1740.20647267501
308.421,2002.43755859137
308.761,2153.16840744019
309.101,2171.42355160167
309.441,2679.91025599341
309.781,3386.09595526258
310.121,4217.23128269116
310.461,5177.43379950523
310.801,6444.20900566876
311.141,7945.81176772217
311.481,9126.19772838056
311.821,10483.926796029
312.161,12849.9922042588
312.501,16752.1518674195
312.841,21662.5914847727
313.180,25532.4333252435
313.520,27652.7295419176
313.860,28187.8175047239
314.200,30896.0312988261
314.540,38630.0696416299
314.880,49974.6578415632
315.220,58683.187399586
315.560,62446.9964376291
315.899,58401.1691592634
316.239,45336.3806979259
316.579,26640.5438426336
316.919,10728.9643869797
317.259,3658.3240339458
317.599,2258.64383455118
317.938,1973.72803824147
318.278,1674.99821881453
318.618,1196.41302613666
318.958,942.702753974746
319.297,894.996992724482
319.637,822.834599837661
319.977,617.210786854227
320.316,588.752374025683
320.656,694.129312857986
320.996,648.771169501046
321.336,560.040598221123
321.675,402.246122342845
322.015,649.338596065839
322.354,571.574667205413
322.694,678.349595785141
323.034,515.362376689911
323.373,577.959876040618
323.713,451.012780921534
324.053,494.495251948635
324.392,604.406259765228
324.732,798.117758015792
325.071,824.132042566935
325.411,924.187202900648
325.750,1245.74635946999
326.090,1604.75914038966
326.429,1949.02631366253
326.769,1943.81928590934
327.108,2384.73931555947
327.448,2687.66338183483
327.787,3202.1729183495
328.127,3015.24960388243
328.466,2856.60849907001
328.806,2500.2345675081
329.145,2202.92529238264
329.485,1891.53933170935
329.824,1931.84785501162
330.163,2299.36012125015
330.503,2599.78968741496
330.842,2877.35561034083
331.182,2891.05911613504
331.521,3020.68067364891
331.860,2919.86890595655
332.200,3276.86289140085
332.539,3924.79673134784
332.878,5005.01052546501
333.218,6051.6997466969
333.557,7261.89521961908
333.896,9046.91025599341
334.236,11986.2112611085
334.575,17222.2789248228
334.914,26637.2766693532
335.253,41318.8884532551
335.593,54021.842592294
335.932,61574.6543600162
336.271,62436.9282996456
336.610,62446.2175532257
336.949,62436.4305955271
337.289,62446.2634141793
337.628,62436.859884123
337.967,60541.7536000808
338.306,45895.8054756125
338.645,29657.7190164526
338.984,14421.8899568866
339.324,11294.4175370534
339.663,9528.84635138015
340.002,8360.52401781082
340.341,7318.56311237812
340.680,6065.61075453957
341.019,4816.67691459258
341.358,3946.52777689695
341.697,3623.96363512675
342.036,3672.72606035943
342.375,3888.47317164143
342.714,3769.15938560665
343.053,3368.12405012548
343.392,2832.13758286834
343.731,2462.08044461906
344.070,2194.46866074701
344.409,2109.19171382487
344.748,2131.13307194412
345.087,2473.7320749114
345.426,2628.31002694679
345.765,2601.99473726749
346.104,2514.71027216191
346.443,2663.95188359171
346.782,2600.04962004721
347.121,2358.84559957186
347.459,2181.42054432382
347.798,2427.77116950105
348.137,2719.15186741948
348.476,2948.44460253169
348.815,3519.11803556979
349.154,4348.50775531431
349.492,4875.51226623853
349.831,4985.86965777973
350.170,4958.62879817685
350.509,4827.54233900209
350.848,4927.27995419254
351.186,5605.5696820269
351.525,7646.64937483209
351.864,10952.9488763139
352.203,15368.0165400151
352.541,20485.9751899764
352.880,26227.5659229259
353.219,30955.0045109135
353.557,32390.6749366742
353.896,28859.9064968924
354.235,21740.7716437777
354.573,16079.6566154857
354.912,14103.9794233541
355.251,17311.8779277752
355.589,24062.1473564953
355.928,34835.2135165632
356.266,47785.1759256274
356.605,57430.9839342336
356.944,62235.4435731769
357.282,62436.8583804915
357.621,62446.4348288899
357.959,62436.9027378062
358.298,52537.1601374298
358.636,36091.7944758783
358.975,18609.1481083184
359.313,10490.454376181
359.652,8598.82379681865
359.990,7192.06465642899
360.329,5868.41152250518
360.667,4837.97040150563
361.006,4355.31426030397
361.344,4269.52203988036
361.683,3921.93356237809
362.021,3484.33606305718
362.359,3152.52655078967
362.698,2828.82454864184
363.036,2453.27516573668
363.375,2151.5919590493
363.713,2349.83281863729
364.051,2549.51376987
364.390,2650.80349771182
364.728,2638.30250875962
365.066,2699.93459175527
365.405,2825.44309889277
365.743,2766.44610617061
366.081,2805.68696577723
366.419,2876.11502829194
366.758,3140.94737267494
367.096,3138.16417406996
367.434,2912.46640527745
367.772,2345.20223928988
368.111,2158.31904877381
368.449,2322.77492859463
368.787,2748.09896252553
369.125,3705.37515762448
369.463,4844.60624360045
369.802,6617.06212342779
370.140,8378.71149825057
