Wavelength [nm],Intensity (a.u)
266.175,392.598012196521
266.516,386.899547666311
266.858,228.206864570578
267.199,52.0137308938429
267.540,88.5197844256957
267.881,31.28690341115
268.223,-99.2039738645156
268.564,-18.7620602498452
268.905,99.0751585811377
269.246,167.702622105678
269.588,4.33243218064308
269.929,-42.7875324785709
270.270,162.941284547249
270.611,237.114905901253
270.952,150.910387843847
271.294,170.829992036025
271.635,202.05691314737
271.976,236.858899186055
272.317,65.6702800599548
272.658,120.000722678611
272.999,223.558264868955
273.340,186.518517548839
273.681,11.8025302539269
274.023,151.962242225806
274.364,229.529901926716
274.705,270.441735131045
275.046,-16.2328809996446
275.387,-2.92917749285698
275.728,191.591508085529
276.069,183.279855114718
276.410,301.803252930443
276.751,323.902259896199
277.092,545.241374671459
277.433,235.965855638186
277.774,138.128458301226
278.115,171.774889995654
278.456,427.170552149415
278.797,383.034688573331
279.138,293.777236493925
279.479,275.566035856803
279.820,365.546523531278
280.160,435.981933033094
280.501,335.890152849257
280.842,446.730262386302
281.183,411.511834954222
281.524,403.813370431463
281.865,336.647698541482
282.206,308.098828504483
282.546,447.812647754947
282.887,367.995663928334
283.228,333.721590242038
283.569,286.184283062816
283.910,280.650589247545
284.251,201.23270252347
284.591,74.0390246436
284.932,67.5228536228339
285.273,311.618247194837
285.614,309.569649254282
285.954,191.260164320469
286.295,141.085998758674
286.636,371.529901926716
286.976,370.414817541838
287.317,329.815359999736
287.658,316.413372188807
287.999,483.686901668708
288.339,270.838842660189
288.680,66.3709126239022
289.020,138.177056267858
289.361,272.265223056078
289.702,216.321591973305
290.042,-43.3494107524554
290.383,24.8654033044974
290.724,109.037579290569
291.064,168.077326610684
291.405,74.8668486575286
291.745,199.899369190137
292.086,354.507498880227
292.426,455.692683099459
292.767,359.074435897172
293.107,359.233425199986
293.448,574.584102829297
293.788,951.315087914467
294.129,1246.01282973091
294.469,1728.33821359277
294.810,2410.9528474311
295.150,3145.1560985744
295.491,3638.68690166871
295.831,3947.94363106415
296.172,4172.75194274137
296.512,4258.85384043555
296.853,4057.56748120983
297.193,3926.20018199086
297.533,3372.72592631231
297.874,2583.10695643723
298.214,1374.20740877092
298.554,650.9803091983
298.895,365.349776476622
299.235,263.834328110019
299.576,84.7620602498452
299.916,50.1308048218489
300.256,251.822042579452
300.596,362.612287302812
300.937,256.468474244078
301.277,161.624028629313
301.617,225.785185957948
301.958,334.930444369714
302.298,260.847336332003
302.638,278.420777452489
302.978,433.215358227491
303.318,511.877688835065
303.659,416.044806078076
303.999,305.611020411054
304.339,289.676784167687
304.679,264.576876034339
305.019,157.383742362261
305.360,199.699008752902
305.700,327.287626087666
306.040,441.258718937635
306.380,496.528456573685
306.720,664.097561620176
307.060,691.672448095555
307.400,683.404878524443
307.740,712.69250463446
308.081,1135.18554995457
308.421,1526.42059895396
308.761,1678.49521334966
309.101,1681.08672143519
309.441,1985.56748120983
309.781,2470.41264951229
310.121,2969.54273164272
310.461,3497.75031890472
310.801,4166.20090466738
311.141,4924.13947698474
311.481,5458.52339782317
311.821,5927.91671348612
312.161,7106.97958652179
312.501,8774.47931442162
312.841,10893.9277321324
313.180,12163.0961162597
313.520,13068.7141849895
313.860,13252.4654050469
314.200,13942.3504991233
314.540,16018.720689108
314.880,19989.2990104953
315.220,24567.4876295726
315.560,26317.3040692012
315.899,23498.4959360262
316.239,16489.0455287546
316.579,8880.86901668708
316.919,3437.9528474311
317.259,934.978141168753
317.599,524.631799628337
317.938,633.379406273365
318.278,671.985367933909
318.618,376.076603934169
318.958,294.701355239997
319.297,317.997109285556
319.637,310.174344023069
319.977,126.882203385234
320.316,204.082385368645
320.656,369.457634059091
320.996,371.767119000355
321.336,287.0390246436
321.675,157.249502611657
322.015,423.00505875051
322.354,354.565313180288
322.694,460.002712229888
323.034,267.014997760455
323.373,357.615178008874
323.713,216.678952203753
324.053,252.168562596043
324.392,295.070099830627
324.732,515.766940524181
325.071,455.780671407779
325.411,375.17994697392
325.750,458.743270600836
326.090,683.42222280552
326.429,873.358627085885
326.769,690.146703764796
327.108,943.05691314737
327.448,1040.98392258088
327.787,1441.16621609032
328.127,1158.23992931843
328.466,1092.5978337129
328.806,941.558809076746
329.145,849.915268118183
329.485,656.531347279747
329.824,624.507498880227
330.163,788.346163064241
330.503,922.438665956259
330.842,1284.34182700515
331.182,1455.71057157715
331.521,1739.66721086701
331.860,1495.52773388227
332.200,1617.85528578858
332.539,1794.12502340972
332.878,2374.34345083435
333.218,2945.03179785982
333.557,3876.55302763482
333.896,5132.90081454317
334.236,7217.20307269692
334.575,9946.60144709547
334.914,14095.9326123993
335.253,19884.8798568646
335.593,27523.1691067964
335.932,36315.6419171294
336.271,44907.5848255058
336.610,50201.8887074888
336.949,49626.1064122369
337.289,41437.9327908903
337.628,28734.1857284158
337.967,16517.7373106678
338.306,8905.12050885955
338.645,5628.03740082185
338.984,4252.54796888431
339.324,3329.08094000816
339.663,2913.5060535272
340.002,2502.83704038461
340.341,2097.87461968263
340.680,1543.26666843891
341.019,1197.66359748443
341.358,1009.17398707072
341.697,1019.28545805812
342.036,1081.05709161237
342.375,1292.13441821933
342.714,1128.15320786834
343.053,923.785908641915
343.392,614.798916856448
343.731,601.743993277351
344.070,536.796748826901
344.409,498.850949729482
344.748,453.794580782453
345.087,683.06287304312
345.426,761.310930294295
345.765,654.99494124949
346.104,608.041915360838
346.443,854.620415235559
346.782,953.381030124923
347.121,840.838664184014
347.459,739.750497388343
347.798,990.100452333689
348.137,1114.81264775495
348.476,1070.10695643723
348.815,1269.11346054822
349.154,1654.50099477669
349.492,1848.17199751735
349.831,1849.86178990702
350.170,1894.28401270509
350.509,1997.20090466738
350.848,2137.61535648505
351.186,2523.90677445382
351.525,3443.98337839171
351.864,4749.61752451832
352.203,6155.68256559658
352.541,7707.97615160421
352.880,9588.90316105634
353.219,11281.6710027383
353.557,11717.3412827983
353.896,10526.5638678124
354.235,8464.42132166028
354.573,7599.97741849224
354.912,7662.96730099122
355.251,9325.20307269692
355.589,11645.1416450143
355.928,15553.5385740598
356.266,20308.1691067964
356.605,25779.638303717
356.944,31725.4263803959
357.282,36165.8509497295
357.621,36414.7642282868
357.959,30442.2269210964
358.298,20094.4872638931
358.636,10826.4561887061
358.975,5074.1423676908
359.313,3189.11635126174
359.652,2524.81770650546
359.990,2229.72881702955
360.329,1792.40849191447
360.667,1439.29196217656
361.006,1233.96874634425
361.344,1257.18139234185
361.683,1005.58988424142
362.021,823.656370689472
362.359,835.51906174918
362.698,886.151762515307
363.036,799.264500379562
363.375,662.58193478485
363.713,812.159711971879
364.051,883.506776203712
364.390,905.464860846599
364.728,931.303703510513
365.066,998.270460290214
365.405,1130.77217775087
365.743,1023.10840179771
366.081,1064.68617898847
366.419,1079.11056982726
366.758,1247.61607916156
367.096,1290.50406397382
367.434,1232.79458078245
367.772,967.194400548935
368.111,831.986269106157
368.449,948.437399064501
368.787,1097.41554021835
369.125,1657.69394995769
369.463,2144.92899901668
369.802,3009.71346231302
370.140,3597.36350736022
370.478,4199.58699353536
370.816,4350.83649615447
371.154,3905.07588125765
